Project Name,Borough,Address,Completion Date,Total Units,Studio Units,1BR Units,2BR Units,3BR Units
BLUE SEA. 223 LINDEN STREET. LINDEN GROVE,Brooklyn,"223 LINDEN STREET, Brooklyn, NY 11221",2025-12-30,153,109,43,1,
IMPACCT BK. 776-780 MYRTLE AVE,Brooklyn,"778 MYRTLE AVENUE, Brooklyn, NY 11206",2025-01-31,60,45,8,7,
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1272 BOSTON ROAD, Bronx, NY 10456",2025-01-28,13,,8,5,
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1418 CLINTON AVENUE, Bronx, NY 10456",2025-01-28,10,,1,5,4
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"426 EAST 162 STREET, Bronx, NY 10451",2025-01-28,7,,3,4,
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"493 EAST 166 STREET, Bronx, NY 10456",2025-01-28,10,,,6,4
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"918 FREEMAN STREET, Bronx, NY 10459",2025-01-28,10,2,,,4
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1300 HOE AVENUE, Bronx, NY 10459",2025-01-28,21,,12,9,
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1507 HOE AVENUE, Bronx, NY 10460",2025-01-28,10,,5,4,1
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"4031 PARK AVENUE, Bronx, NY 10457",2025-01-28,10,,,5,5
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1336 PROSPECT AVENUE, Bronx, NY 10459",2025-01-28,10,,,3,7
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1386 PROSPECT AVENUE, Bronx, NY 10459",2025-01-28,11,,,,11
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1439 PROSPECT AVENUE, Bronx, NY 10456",2025-01-28,20,,12,8,
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"768 EAST 168 STREET, Bronx, NY 10456",2025-01-28,15,,6,4,5
BEULAH CLUSTER HDFC.Y15.FY22,Bronx,"1212 UNIVERSITY AVENUE, Bronx, NY 10452",2025-01-28,54,10,15,28,1
